id_odsp,league,season,fthg,ftag,odd_h,odd_d,odd_a
C0URm0Ep/,D1,2012,2,0,2.36,3.6,3.4
C2PteWXM/,E0,2012,3,1,1.37,5.3,11.5
dCEXFB95/,SP1,2012,4,1,1.19,9,19
df3yiwyp/,F1,2012,1,1,2.25,3.16,4
GpRverMA/,D1,2012,1,2,1.6,4.22,7
I9ipkH5d/,F1,2012,3,1,1.43,4.8,9.61
jgOpfjmT/,E0,2012,1,1,2.8,3.2,3
KOQ1A36i/,D1,2012,2,1,2.4,3.56,3.36
KthHHXvg/,SP1,2012,0,0,2.42,3.55,3.2
KYB9eJSS/,F1,2012,1,3,3.2,3.1,2.86
lY7vDKc3/,F1,2012,3,0,2.86,3.25,2.86
M5CtOZ1P/,SP1,2012,1,1,3.75,3.51,2.22
nBMzdO64/,D1,2012,4,0,1.23,7.6,17
pnGG8acC/,I1,2012,2,1,3.25,3.21,2.68
rX0mBbSF/,F1,2012,0,0,3.04,3.18,2.8
SbH7DDmi/,E0,2012,1,1,2.16,3.5,3.95
t2LBCX2c/,E0,2012,2,0,2.5,3.3,3.34
tIwdgMjN/,D1,2012,0,1,1.68,4.09,6
UHCoQ0Sn/,I1,2012,3,0,1.47,4.8,8.6
UXfjajPO/,SP1,2012,0,0,4.2,3.65,2
vJhtjcjj/,F1,2012,1,2,2.96,3.1,2.94
vNGIUEFL/,E0,2012,3,1,2.14,3.4,4.2
Wn6DkAep/,E0,2012,4,1,1.35,5.5,12
0r8sRtDt/,I1,2012,2,1,2.56,3.35,3.15
6eHC9ur6/,I1,2012,0,0,1.95,3.46,5.5
6wlDIDPn/,SP1,2012,2,0,2.12,3.5,4.01
Aw5HlUAj/,E0,2012,2,2,3.13,3.56,2.5
bZLFVM4P/,I1,2012,0,0,1.58,4.2,7.54
E3iLGifa/,SP1,2012,3,0,3,3.3,2.71
fLs0ht6T/,D1,2012,1,2,2.34,3.75,3.2
hCJO6wSO/,I1,2012,0,0,4.91,3.2,2.02
IuQxdCIG/,E0,2012,2,1,1.44,5,9
jiTVnKTj/,D1,2012,2,0,2.8,3.65,2.69
jsdn0W9I/,SP1,2012,2,1,1.45,4.7,9.8
jX0fOvca/,I1,2012,0,2,1.94,3.69,4.8
OQAGBiI3/,E0,2012,2,0,2.14,3.35,4.09
OYpUEVOB/,SP1,2012,0,1,2.18,3.45,3.85
QBC5daDM/,F1,2012,1,3,7.49,4,1.62
Qq0FALSa/,I1,2012,0,0,3.05,3.2,2.74
v9FK7JCI/,I1,2012,0,0,3.5,3.2,2.48
WdcqCvD9/,F1,2012,2,0,2.14,3.25,4.4
xf0iAIsM/,F1,2012,3,0,2,3.5,4.76
OEb8JgAt/,SP1,2012,3,1,1.72,3.95,6
dfP9bcDd/,D1,2012,1,1,4.4,4,1.91
06djNeRR/,F1,2012,1,1,2.02,3.35,4.7
0d5W4d5q/,F1,2012,1,1,1.83,3.45,5.7
0npZ4azT/,D1,2012,2,2,2.58,3.7,2.88
2eW00Jrp/,D1,2012,1,0,2.12,3.75,3.8
2PqYDkvI/,SP1,2012,0,0,1.14,9.74,26
4EHAPAn3/,E0,2012,1,0,1.6,4.2,7
8AUBTUw5/,SP1,2012,0,4,7.5,5,1.5
CzD73TPq/,E0,2012,0,2,2.38,3.49,3.35
dnqxD9gO/,SP1,2012,2,0,1.91,3.6,4.94
EFy0Ntjc/,D1,2012,0,0,2.16,3.7,3.7
hjWz9k2M/,E0,2012,1,2,2.25,3.34,3.9
hxP98sy4/,D1,2012,5,0,1.33,6.2,11.01
hzAZQwS2/,F1,2012,2,0,1.29,5.8,15.15
Is7oOyCL/,F1,2012,1,0,2.24,3.1,4.3
jB90KxsI/,I1,2012,2,2,1.84,3.55,5.8
l4II6L5G/,D1,2012,1,1,2.24,3.7,3.72
nD7r2fk2/,F1,2012,0,0,2.14,3.14,4.59
nw39IGBU/,I1,2012,2,2,1.56,4.2,8.47
pKL5awbj/,D1,2012,1,0,2.15,3.5,3.95
plBF17fd/,E0,2012,1,1,1.31,6,13.09
rmPEQ88H/,SP1,2012,0,1,2.72,3.3,3
vm4z4GKk/,F1,2012,1,3,2.9,3.13,3.07
WQ8wQcs9/,F1,2012,1,0,2.44,3.19,3.6
YqGMTYUR/,E0,2012,2,2,2.08,3.46,4.18
2ZfzybRb/,I1,2012,2,0,1.93,3.4,5.2
6cCB2muj/,E0,2012,1,3,2.25,3.43,3.7
6uTD71jA/,D1,2012,0,1,2.14,3.61,3.78
8n45JddO/,I1,2012,1,0,1.62,3.85,7.8
AafvzIt5/,I1,2012,3,0,1.47,4.5,9.6
AkmtCT8U/,SP1,2012,1,1,1.47,4.9,8.4
As9O9VnG/,E0,2012,3,1,1.68,3.95,6.5
byHEOU19/,E0,2012,1,0,12,5.4,1.35
CKAdLIRB/,I1,2012,0,0,2.72,3.25,3.15
IcBhMbC5/,I1,2012,0,2,4.2,3.4,2.1
ILyaWWgn/,SP1,2012,3,0,2.15,3.45,4.09
K2N39xcS/,F1,2012,0,1,2.86,3.05,3
lQPARlgB/,SP1,2012,0,2,1.9,3.65,4.9
net3Vj9h/,SP1,2012,0,0,2.35,3.36,3.6
OrdWyvCh/,I1,2012,1,0,1.68,4,6.3
QNI6QjXd/,E0,2012,1,6,2.29,3.35,3.72
Qou7UAOb/,SP1,2012,0,3,1.97,3.6,4.55
SG2Nw0st/,I1,2012,3,4,7.4,4,1.63
tK6RxKdn/,I1,2012,1,2,2.34,3.2,3.82
vi8sPHdF/,F1,2012,2,0,1.29,5.8,16.53
vVxeXCvt/,SP1,2012,1,1,1.83,3.8,5.2
WCuV5uLM/,D1,2012,2,1,9.64,5.01,1.43
Y93v3zzd/,F1,2012,3,1,2.04,3.35,4.59
